Time,PercentageEVcharging,Powerperchargingevent,Continousnoofchargingevents,Totalchargingpower,charging_duration_Min,Energychargingevent
11.72,19.14411168,5.553090519,112.9098981,626.9988844,543.948253,50.34323144
11.72,19.78610333,5.73931163,116.6962953,669.7564049,581.0422242,55.57970659
11.87,20.44264812,5.929754137,120.5685254,714.9417122,620.242404,61.29808269
11.95,21.11936884,6.126049034,124.5597509,763.0591418,661.9863248,67.58934476
11.99,21.80766592,6.325701859,128.6192526,813.6070451,705.8387851,74.41542858
12.52,22.51944646,6.532166481,132.8172572,867.5844353,752.6664715,81.94237827
12.76,23.2474339,6.743332203,137.1108483,924.5839986,802.1160217,90.14891333
12.96,23.9868654,6.957817477,141.4719352,984.3359033,853.9533455,99.0275252
13.13,24.74938346,7.17899942,145.9691842,1047.912688,909.108916,108.774873
13.14,25.53439273,7.406705337,150.5990838,1115.443038,967.6943722,119.4571179
13.22,26.32952304,7.637347044,155.2886763,1185.993513,1028.899916,130.9677622
13.26,27.15045208,7.875472133,160.130427,1261.102715,1094.06035,143.6040299
13.4,27.99585686,8.120696843,165.1165328,1340.861306,1163.254327,157.4405956
13.4,28.86573735,8.373021172,170.2469938,1425.481683,1236.66611,172.577192
13.49,29.77729273,8.637434043,175.6232487,1516.934227,1316.005089,189.4484526
13.54,30.71200083,8.908562771,181.1360558,1613.661924,1399.920488,207.854659
13.64,31.68243025,9.190053107,186.8595435,1717.249128,1489.786803,228.1869972
13.76,32.68163518,9.479890293,192.752746,1827.274886,1585.238837,250.4648376
13.99,33.70716806,9.777364367,198.8012279,1943.752042,1686.287733,274.7908266
14.02,34.75684591,10.08184212,204.9921142,2066.698132,1792.948706,301.2704297
14.18,35.76266591,10.37359812,210.9243317,2188.044251,1898.221636,328.1898066
14.31,36.7516175,10.66046114,216.7570611,2310.730227,2004.656949,356.1761251
14.59,37.72641286,10.9432179,222.5062986,2434.934909,2112.409803,385.2760128
14.78,38.68473672,11.2211968,228.158389,2560.210184,2221.091443,415.3884032
15,39.62414151,11.49368789,233.6988967,2686.062178,2330.273411,446.390588
15.01,40.54065818,11.75953987,239.1044128,2811.757876,2439.319786,478.0879713
15.09,41.43375754,12.01859924,244.3718162,2937.006925,2547.978674,510.3855761
15.19,42.32030799,12.27575899,249.6005947,3064.036745,2658.182456,543.8534531
15.27,43.23351714,12.54065157,254.9866034,3197.698147,2774.139419,579.8252641
15.53,44.16657146,12.81130059,260.4896568,3337.211294,2895.173019,618.1821969
15.72,45.12476302,13.08924112,266.1409669,3483.583286,3022.156961,659.2956858
16.01,46.09320793,13.37015581,271.8527501,3634.713625,3153.26897,702.6616238
16.27,47.07336149,13.6544668,277.6335897,3790.938633,3288.800822,748.4470274
16.27,48.06046086,13.94079255,283.4553949,3951.592859,3428.17521,796.5246573
16.41,49.01964468,14.2190209,289.1125572,4110.897494,3566.37877,845.1735712
16.45,49.95250056,14.48961236,294.6144402,4268.849034,3703.408463,894.3492173
16.54,50.87206016,14.756347,300.0379032,4427.463412,3841.013195,944.6553923
16.59,51.78844453,15.02216061,305.442639,4588.408379,3980.639813,996.6301765
16.63,52.69517092,15.28517274,310.7904131,4750.48515,4121.248319,1049.899875
16.68,53.64145537,15.5596594,316.3714963,4922.632726,4270.593677,1107.483051
16.97,54.59958078,15.83758074,322.0224162,5100.056016,4424.515942,1167.893808
17.22,55.56696727,16.11818842,327.727957,5282.380961,4582.690602,1231.077843
17.31,56.54434251,16.40169351,333.4924103,5469.840302,4745.31957,1297.187953
17.41,57.5280682,16.68704066,339.294318,5661.818081,4911.868475,1366.075816
17.59,58.52363485,16.9758225,345.1660623,5859.477807,5083.346711,1438.233191
17.87,59.53044711,17.26786633,351.104132,6062.819218,5259.75405,1513.745497
18,60.48890327,17.5458836,356.7570027,6259.616844,5430.484378,1588.044113
18.18,61.42116379,17.81630237,362.2553743,6454.051284,5599.16454,1662.606808
18.27,62.35024908,18.0858001,367.7350187,6650.78204,5769.836856,1739.201934
18.41,63.25684316,18.34877386,373.0820125,6845.59748,5938.847552,1816.176179
18.5,64.17765963,18.61587308,378.5128883,7046.347887,6113.007086,1896.649401
18.59,65.10674492,18.88537081,383.9925328,7251.841371,6291.28144,1980.219715
18.64,66.05825527,19.16137333,389.6044378,7465.356085,6476.514554,2068.315221
18.68,67.01743909,19.43960168,395.2616001,7683.728066,6665.961554,2159.727291
18.86,67.95049341,19.7102507,400.7646535,7899.171795,6852.86817,2251.195828
19.11,68.86932536,19.97677427,406.1838249,8114.242583,7039.451245,2343.758809
19.36,69.76930438,20.23782922,411.4918037,8327.700848,7224.635387,2436.848952
19.68,70.65605329,20.49504653,416.7217527,8540.731711,7409.44874,2530.949944
19.77,71.53916391,20.75120849,421.9302436,8755.562452,7595.823562,2627.041973
19.86,72.40606762,21.00266935,427.0431478,8969.046033,7781.029667,2723.706555
19.86,73.26635628,21.2522114,432.1170372,9183.442623,7967.027846,2821.949333
20.05,74.12300666,21.50069809,437.1694684,9399.448756,8154.422371,2922.096226
20.14,74.96973444,21.74630657,442.1633772,9615.420353,8341.786936,3023.384267
20.18,75.80323211,21.98807741,447.0792561,9830.413291,8528.302473,3125.349582
20.32,76.62680718,22.22697002,451.9366128,10045.18154,8714.623085,3228.327768
20.32,77.44045966,22.46298441,456.735447,10259.64123,8900.676,3332.262438
20.32,78.24749708,22.69707999,461.4952663,10474.59497,9087.157536,3437.532358
20.44,79.04825019,22.92935269,466.2180215,10690.07745,9274.097762,3544.150975
20.44,79.84245439,23.15972576,470.9021519,10905.9647,9461.389155,3652.052969
20.5,80.63295416,23.3890243,475.5644339,11122.9881,9649.666205,3761.604622
20.57,81.41551585,23.61602025,480.1798981,11339.9382,9837.87966,3872.192755
20.69,82.193447,23.84167304,484.7680518,11557.68139,10026.78116,3984.253967
20.69,82.96092636,24.06429409,489.2945619,11774.52824,10214.90504,4096.907983
20.82,83.72562739,24.28610924,493.8046858,11992.59454,10404.08686,4211.246499
20.96,84.48014122,24.50496942,498.2547267,12209.71684,10592.4497,4326.1276
21.14,85.23220749,24.72311963,502.6903321,12428.07322,10781.88316,4442.696455
21.23,85.97560802,24.9387562,507.074828,12645.81551,10970.78388,4559.961741
21.41,86.70392622,25.15001786,511.3703699,12860.97393,11157.44298,4676.831505
21.46,87.42695236,25.35974447,515.6346998,13076.36423,11344.30324,4794.810523
21.55,88.14170968,25.56707256,519.8502611,13291.04934,11530.55173,4913.374212
21.6,88.85349023,25.77353718,524.0482657,13506.57746,11717.53156,5033.370587
21.76,89.55204065,25.97616417,528.1682404,13719.78492,11902.49812,5153.020752
21.87,90.24596053,26.17744799,532.2609048,13933.23215,12087.67268,5273.740383
21.96,90.93061932,26.37604546,536.2989482,14145.44544,12271.77676,5394.682361
21.96,91.60568628,26.57186066,540.28042,14356.25604,12454.66393,5515.726575
21.96,92.26957378,26.76443305,544.1959566,14565.09625,12635.84171,5636.518994
22.09,92.92228183,26.95376264,548.0455581,14771.88989,12815.24401,5756.984089
22.15,93.56261972,27.13950405,551.8222016,14976.18088,12992.47515,5876.822199
22.29,94.18972749,27.32140783,555.5208153,15177.61075,13167.22415,5995.785016
22.51,94.79864383,27.49803486,559.112138,15374.48506,13338.021,6112.822774
22.67,95.39433006,27.67082426,562.6254309,15568.30942,13506.17189,6228.781814
22.82,95.98161516,27.84117676,566.0891748,15760.58878,13672.98243,6344.532011
22.88,96.55097344,28.00632927,569.4471883,15948.12546,13835.67849,6458.109458
22.93,97.1069693,28.16760577,572.7263917,16132.33121,13995.48484,6570.321658
23.09,97.64311998,28.32312582,575.8885504,16310.96387,14150.45628,6679.752561
23.1,98.15949163,28.47290861,578.9340544,16483.93642,14300.51734,6786.288723
23.33,98.66263316,28.61885377,581.9015287,16653.35476,14447.49497,6891.179098
23.52,99.13263323,28.75518566,584.6735382,16812.39614,14585.47015,6990.131701
23.63,99.58292042,28.88579948,587.3292833,16965.47591,14718.27337,7085.818219
23.69,100,29.00678084,589.7891735,17107.8853,14841.81958,7175.223465
0.15,0.384401184,0.111502409,2.065823606,0.230344309,0.182087456,0.000338386
0.26,0.738108486,0.214101511,3.966694165,0.849275214,0.671353087,0.002395629
0.49,1.067935418,0.309773686,5.73922841,1.77786194,1.405402022,0.007255943
0.56,1.385193734,0.401800111,7.444217227,2.991087306,2.364458146,0.015833992
0.72,1.683003772,0.488185216,9.04468838,4.415483148,3.490444789,0.028399726
0.86,1.957727248,0.567873652,10.52108925,5.974649376,4.722967584,0.044700814
0.86,2.216706879,0.642995306,11.91288058,7.659926293,6.055181034,0.064890883
1.02,2.455973628,0.712398888,13.19873223,9.402762164,7.432894905,0.088253101
1.2,2.684193226,0.778598046,14.42521501,11.23144423,8.878470299,0.115212661
1.45,2.901564125,0.841650347,15.59339543,13.12418666,10.37468549,0.145530961
1.63,3.112452263,0.902822207,16.72673662,15.10126926,11.93757169,0.17962508
1.83,3.302304509,0.957892232,17.74702809,16.99974034,13.43831537,0.214540965
2.04,3.469400945,1.006361529,18.64502679,18.76363766,14.83267835,0.248783948
2.13,3.621878096,1.050590242,19.46445948,20.4491712,16.16509465,0.283048178
2.29,3.765226464,1.092170989,20.23483287,22.09989742,17.46999574,0.318003709
2.5,3.90612726,1.133041774,20.99205268,23.78487259,18.80197066,0.35505697
2.76,4.03346718,1.169978985,21.67639452,25.36092606,20.04784284,0.390925914
2.95,4.145394009,1.202445355,22.27790433,26.78796259,21.17591695,0.424381383
3.24,4.247001343,1.231918372,22.8239558,28.11725047,22.22672063,0.456358425
3.5,4.332467929,1.256709477,23.28326471,29.26029942,23.13030221,0.484467833
3.76,4.406159706,1.27808509,23.67929422,30.26415288,23.92384959,0.509611924
4,4.469135085,1.29635222,24.01773237,31.13544067,24.61260365,0.531776723
4.17,4.525627705,1.31273891,24.3213313,31.92755794,25.23877331,0.552198663
4.68,4.572065432,1.326209,24.57089388,32.58614059,25.7593837,0.569372108
5.16,4.617841653,1.339487208,24.81690144,33.24192202,26.27777971,0.586645829
5.18,4.661368753,1.352113018,25.05082192,33.87154244,26.77549542,0.603391599
5.62,4.715810703,1.367904876,25.34340028,34.66736081,27.4045908,0.624781223
